Year,Rural,Urban,Overall
2000,6504075,8397566,14901641
2001,6452211,8413399,14865610
2002,6421728,8429331,14851059
2003,6409685,8457152,14866837
2004,6432958,8518242,14951200
2005,6460116,8614651,15074767
2006,6522771,8696520,15219291
2007,6563629,8833249,15396878
2008,7305571,8265935,15571506
2009,7319451,8662919,15982370
2010,7383654,8819620,16203274
2011,7466548,8973922,16440470
2012,7546390,9127543,16673933
2013,7632375,9277871,16910246
2014,7727280,9433575,17160855
2015,7578690,9837025,17415715
2016,7634319,10035577,17669896
2017,7586722,10331492,17918214
2018,7647541,10509796,18157337
2019,7697359,10698208,18395567
2020,7693127,10938652,18631779
2021,7728176,11151376,18879552
2022,7511921,11991238,19503159
